customer_id,customer_age,gender,customer_city,segment,signup_year
125,26,Female,Bangalore,Regular,2024
126,50,Male,Mumbai,Premium,2023
127,23,Female,Chennai,Regular,2021
128,48,Female,Pune,Premium,2022
129,58,Female,Bangalore,Premium,2022
130,46,Female,Chennai,Regular,2022
131,31,Male,Chennai,Premium,2024
132,53,Male,Hyderabad,VIP,2021
133,32,Female,Hyderabad,Regular,2024
134,43,Male,Kolkata,VIP,2024
135,38,Female,Pune,Premium,2024
136,21,Male,Mumbai,Regular,2022
137,33,Female,Kolkata,Regular,2022
138,29,Female,Mumbai,VIP,2024
139,57,Female,Hyderabad,Regular,2022
140,59,Male,Delhi,Regular,2021
141,46,Female,Bangalore,VIP,2023
142,35,Female,Chennai,Premium,2022
143,59,Female,Kolkata,VIP,2023
144,35,Female,Delhi,Premium,2021
145,56,Male,Delhi,Regular,2021
146,18,Male,Delhi,Regular,2023
147,21,Female,Mumbai,Regular,2024
148,37,Female,Kolkata,Regular,2022
149,40,Male,Bangalore,Regular,2021
150,51,Male,Hyderabad,Regular,2024
151,63,Female,Hyderabad,Premium,2024
152,50,Female,Mumbai,Premium,2022
153,56,Male,Mumbai,Regular,2021
154,27,Male,Bangalore,Premium,2022
155,37,Female,Bangalore,VIP,2021
156,30,Female,Delhi,Regular,2021
157,22,Female,Pune,Premium,2024
158,32,Male,Bangalore,VIP,2021
159,45,Male,Hyderabad,Premium,2023
160,40,Male,Kolkata,Regular,2024
161,62,Male,Hyderabad,VIP,2023
162,34,Male,Chennai,VIP,2021
163,51,Male,Hyderabad,Premium,2021
164,31,Female,Mumbai,Regular,2023
165,45,Male,Kolkata,VIP,2022
166,49,Male,Mumbai,Premium,2023
167,48,Female,Delhi,Premium,2021
168,64,Male,Pune,VIP,2021
169,27,Male,Bangalore,Regular,2024
170,38,Female,Mumbai,Regular,2021
171,22,Male,Pune,Premium,2022
172,47,Male,Hyderabad,Regular,2023
173,34,Male,Bangalore,VIP,2023
174,37,Female,Kolkata,VIP,2024
175,26,Male,Mumbai,Regular,2022
176,54,Male,Delhi,Premium,2021
177,21,Male,Kolkata,VIP,2024
178,42,Female,Pune,VIP,2023
179,26,Male,Bangalore,Premium,2022
180,40,Male,Kolkata,VIP,2024
181,27,Male,Delhi,Premium,2022
182,60,Male,Mumbai,VIP,2022
183,47,Female,Pune,Premium,2022
184,23,Male,Bangalore,VIP,2022
185,19,Female,Mumbai,VIP,2022
186,19,Male,Mumbai,Regular,2024
187,59,Female,Kolkata,Premium,2024
188,29,Female,Chennai,VIP,2021
189,25,Female,Delhi,VIP,2024
190,30,Male,Chennai,Premium,2023
191,61,Female,Kolkata,Premium,2024
192,27,Female,Pune,VIP,2022
193,22,Male,Bangalore,VIP,2022
194,36,Male,Hyderabad,Premium,2023
195,55,Female,Chennai,Premium,2023
196,28,Female,Bangalore,VIP,2021
197,60,Female,Kolkata,Regular,2024
198,37,Male,Chennai,Premium,2021
199,35,Male,Mumbai,VIP,2021
200,27,Male,Kolkata,VIP,2022
201,43,Female,Delhi,VIP,2022
202,26,Female,Pune,VIP,2022
203,48,Male,Chennai,Premium,2022
204,21,Female,Hyderabad,VIP,2021
205,23,Female,Bangalore,Regular,2022
206,21,Male,Bangalore,Regular,2022
207,64,Male,Pune,Regular,2024
208,56,Male,Bangalore,Premium,2021
209,36,Male,Bangalore,Regular,2021
210,23,Female,Kolkata,Premium,2023
211,46,Female,Bangalore,Premium,2023
212,33,Male,Chennai,VIP,2022
213,42,Male,Bangalore,Regular,2024
214,28,Female,Pune,Regular,2024
215,24,Female,Pune,VIP,2022
216,39,Male,Mumbai,VIP,2021
217,36,Female,Pune,Premium,2023
218,43,Male,Pune,VIP,2022
219,58,Female,Chennai,Regular,2024
220,40,Male,Pune,Premium,2023
221,30,Male,Delhi,VIP,2021
222,19,Male,Bangalore,VIP,2022
223,33,Male,Chennai,Premium,2021
224,45,Male,Delhi,VIP,2021
225,52,Male,Chennai,VIP,2021
226,30,Male,Chennai,VIP,2023
227,38,Female,Kolkata,Regular,2024
228,51,Female,Kolkata,Premium,2024
229,58,Female,Bangalore,Regular,2024
230,19,Male,Chennai,Premium,2022
231,49,Female,Kolkata,Regular,2022
232,57,Female,Mumbai,Premium,2022
233,45,Female,Pune,Premium,2021
234,58,Female,Pune,VIP,2021
235,58,Female,Pune,VIP,2022
236,21,Female,Chennai,Regular,2023
237,27,Male,Hyderabad,VIP,2023
238,28,Female,Mumbai,Premium,2022
239,55,Female,Hyderabad,Regular,2024
240,62,Male,Mumbai,VIP,2021
241,33,Male,Chennai,Regular,2023
242,19,Female,Bangalore,Premium,2023
243,58,Male,Delhi,Premium,2023
244,46,Male,Pune,VIP,2022
245,37,Female,Chennai,VIP,2023
246,31,Male,Bangalore,Regular,2022
247,48,Female,Mumbai,Regular,2022
248,57,Male,Mumbai,Premium,2022
249,35,Male,Delhi,Premium,2022
250,42,Female,Bangalore,VIP,2023
251,36,Female,Chennai,Regular,2024
252,45,Male,Kolkata,Premium,2024
253,48,Female,Delhi,Premium,2023
254,20,Male,Chennai,VIP,2024
255,39,Female,Bangalore,VIP,2021
256,53,Female,Bangalore,Regular,2021
257,31,Female,Mumbai,Premium,2023
258,26,Female,Pune,Regular,2022
259,47,Male,Kolkata,VIP,2021
260,29,Male,Kolkata,VIP,2021
261,49,Female,Bangalore,Premium,2023
262,37,Male,Mumbai,VIP,2023
263,64,Male,Mumbai,VIP,2022
264,28,Male,Delhi,Regular,2024
265,25,Female,Hyderabad,VIP,2024
266,44,Male,Delhi,Premium,2024
267,57,Female,Pune,Premium,2022
268,64,Male,Delhi,Premium,2022
269,61,Male,Hyderabad,VIP,2024
270,44,Male,Chennai,Premium,2021
271,37,Female,Bangalore,Premium,2024
272,21,Female,Pune,VIP,2023
273,30,Male,Pune,Regular,2021
274,26,Female,Chennai,Regular,2024
275,29,Female,Hyderabad,VIP,2021
276,30,Male,Chennai,VIP,2024
277,43,Male,Delhi,Regular,2022
278,59,Female,Pune,Premium,2021
279,56,Female,Kolkata,VIP,2024
280,36,Male,Bangalore,VIP,2024
281,36,Female,Hyderabad,Premium,2021
282,30,Female,Delhi,Premium,2021
283,45,Female,Chennai,VIP,2021
284,19,Male,Pune,Premium,2022
285,39,Male,Mumbai,VIP,2021
286,26,Female,Chennai,Regular,2021
287,31,Female,Bangalore,Regular,2021
288,37,Male,Kolkata,Premium,2023
289,49,Male,Pune,VIP,2021
290,34,Male,Bangalore,VIP,2024
291,47,Male,Delhi,VIP,2022
292,30,Male,Pune,Premium,2022
293,64,Male,Mumbai,VIP,2024
294,33,Male,Mumbai,Premium,2022
295,34,Female,Bangalore,Premium,2024
296,60,Male,Kolkata,VIP,2024
297,20,Male,Delhi,VIP,2021
298,29,Female,Chennai,Premium,2024
299,33,Male,Kolkata,VIP,2022
300,33,Male,Hyderabad,VIP,2023
